,Audit Questions,data
0,Part 1: Safe Management Measures for Front-of-house,
1,SafeEntry has been implemented for dine-in customers.,no
2,Temperature screening is conducted for customers of outlets that are located outside of institution’s temperature screening zone.,yes
3,"Table and seating arrangement adheres to the one-metre spacing between tables or groups. Where tables/seats are fixed, tables/seats should be marked out, ensuring at least one-metre spacing.",yes
4,Queue is demarcated to ensure at least one-metre spacing between customers such as entrances and cashier counters (e.g. through floor markers).,NA
5,Staff to ensure customers maintain safe distance of one-metre when queuing and seated.,NA
6,"Staff to ensure customers wear a mask at all times, unless eating or drinking.",no
7,"Hand sanitizers are placed at high touch areas (i.e. tray return, collection point, outlet entrance/exit).",NA
8,Outlet promotes use of cashless payment modes.,yes
9,Part 2: Staff Hygiene & Safe Management Measures,
10,"All staff to wear a mask at all times, unless eating or drinking.",NA
11,"Mask worn by staff is in the correct manner (i.e. cover nose and mouth, no hanging of mask under the chin/neck).",NA
12,All staff to record their temperature daily.,yes
13,"Staff to maintain safe distance of one-metre (where possible) and not congregate, including at common areas, and during break/meal times.",no
14,Check with supervisor that all staff record SafeEntry check-in and check-out (Note: Supervisor is accountable for adherence),no
